region,category,powertrain,year,unit,value,parameter_EV sales,parameter_EV sales share,parameter_EV stock,parameter_EV stock share,parameter_Electricity demand,parameter_Oil displacement Mbd,"parameter_Oil displacement, million lge",powertrain_BEV,powertrain_EV,powertrain_FCEV,powertrain_PHEV
Australia,Historical,BEV,2011,Vehicles,49.0,True,False,False,False,False,False,False,True,False,False,False
Australia,Historical,EV,2011,percent,0.0003900000010617,False,False,False,True,False,False,False,False,True,False,False
Australia,Historical,EV,2011,percent,0.0065000001341104,False,True,False,False,False,False,False,False,True,False,False
Australia,Historical,BEV,2011,Vehicles,49.0,False,False,True,False,False,False,False,True,False,False,False
Australia,Historical,BEV,2012,Vehicles,220.0,False,False,True,False,False,False,False,True,False,False,False
Australia,Historical,PHEV,2012,Vehicles,80.0,False,False,True,False,False,False,False,False,False,False,True
Australia,Historical,PHEV,2012,Vehicles,80.0,True,False,False,False,False,False,False,False,False,False,True
Australia,Historical,EV,2012,percent,0.0299999993294477,False,True,False,False,False,False,False,False,True,False,False
Australia,Historical,EV,2012,percent,0.0024000001139938,False,False,False,True,False,False,False,False,True,False,False
Australia,Historical,BEV,2012,Vehicles,170.0,True,False,False,False,False,False,False,True,False,False,False
Australia,Historical,BEV,2013,Vehicles,190.0,True,False,False,False,False,False,False,True,False,False,False
Australia,Historical,EV,2013,percent,0.0046000001020729,False,False,False,True,False,False,False,False,True,False,False
Australia,Historical,EV,2013,percent,0.0340000018477439,False,True,False,False,False,False,False,False,True,False,False
Australia,Historical,PHEV,2013,Vehicles,100.0,True,False,False,False,False,False,False,False,False,False,True
Australia,Historical,PHEV,2013,Vehicles,180.0,False,False,True,False,False,False,False,False,False,False,True
Australia,Historical,BEV,2013,Vehicles,410.0,False,False,True,False,False,False,False,True,False,False,False
Australia,Historical,BEV,2014,Vehicles,780.0,False,False,True,False,False,False,False,True,False,False,False
Australia,Historical,PHEV,2014,Vehicles,1100.0,False,False,True,False,False,False,False,False,False,False,True
Australia,Historical,PHEV,2014,Vehicles,950.0,True,False,False,False,False,False,False,False,False,False,True
Australia,Historical,EV,2014,percent,0.1599999964237213,False,True,False,False,False,False,False,False,True,False,False
Australia,Historical,EV,2014,percent,0.0140000004321336,False,False,False,True,False,False,False,False,True,False,False
Australia,Historical,BEV,2014,Vehicles,370.0,True,False,False,False,False,False,False,True,False,False,False
Australia,Historical,BEV,2015,Vehicles,760.0,True,False,False,False,False,False,False,True,False,False,False
Australia,Historical,EV,2015,percent,0.0270000007003545,False,False,False,True,False,False,False,False,True,False,False
Australia,Historical,EV,2015,percent,0.2000000029802322,False,True,False,False,False,False,False,False,True,False,False
Australia,Historical,PHEV,2015,Vehicles,1000.0,True,False,False,False,False,False,False,False,False,False,True
