region,category,powertrain,year,unit,value,parameter_EV sales,parameter_EV sales share,parameter_EV stock,parameter_EV stock share,parameter_Electricity demand,parameter_Oil displacement Mbd,"parameter_Oil displacement, million lge",powertrain_BEV,powertrain_EV,powertrain_FCEV,powertrain_PHEV
China,Projection-STEPS,EV,2020,GWh,9600.0,False,False,False,False,True,False,False,False,True,False,False
China,Projection-STEPS,EV,2020,Milion barrels per day,0.0509999990463256,False,False,False,False,False,True,False,False,True,False,False
China,Projection-STEPS,EV,2020,"Oil displacement, million lge",3000.0,False,False,False,False,False,False,True,False,True,False,False
China,Projection-STEPS,BEV,2020,Vehicles,920000.0,True,False,False,False,False,False,False,True,False,False,False
China,Projection-STEPS,BEV,2020,Vehicles,3500000.0,False,False,True,False,False,False,False,True,False,False,False
China,Projection-STEPS,PHEV,2020,Vehicles,990000.0,False,False,True,False,False,False,False,False,False,False,True
China,Projection-STEPS,PHEV,2020,Vehicles,220000.0,True,False,False,False,False,False,False,False,False,False,True
China,Projection-STEPS,EV,2020,percent,1.899999976158142,False,False,False,True,False,False,False,False,True,False,False
China,Projection-STEPS,EV,2020,percent,5.699999809265137,False,True,False,False,False,False,False,False,True,False,False
China,Projection-STEPS,EV,2021,percent,16.0,False,True,False,False,False,False,False,False,True,False,False
China,Projection-STEPS,EV,2021,percent,3.0999999046325684,False,False,False,True,False,False,False,False,True,False,False
China,Projection-STEPS,PHEV,2021,Vehicles,550000.0,True,False,False,False,False,False,False,False,False,False,True
China,Projection-STEPS,PHEV,2021,Vehicles,1600000.0,False,False,True,False,False,False,False,False,False,False,True
China,Projection-STEPS,BEV,2021,Vehicles,6200000.0,False,False,True,False,False,False,False,True,False,False,False
China,Projection-STEPS,FCEV,2021,Vehicles,19.0,True,False,False,False,False,False,False,False,False,True,False
China,Projection-STEPS,FCEV,2021,Vehicles,19.0,False,False,True,False,False,False,False,False,False,True,False
China,Projection-STEPS,BEV,2021,Vehicles,2700000.0,True,False,False,False,False,False,False,True,False,False,False
China,Projection-STEPS,EV,2021,Milion barrels per day,0.0979999974370002,False,False,False,False,False,True,False,False,True,False,False
China,Projection-STEPS,EV,2021,"Oil displacement, million lge",5800.0,False,False,False,False,False,False,True,False,True,False,False
China,Projection-STEPS,EV,2021,GWh,18000.0,False,False,False,False,True,False,False,False,True,False,False
China,Projection-STEPS,EV,2022,GWh,23000.0,False,False,False,False,True,False,False,False,True,False,False
China,Projection-STEPS,EV,2022,Milion barrels per day,0.1599999964237213,False,False,False,False,False,True,False,False,True,False,False
China,Projection-STEPS,EV,2022,"Oil displacement, million lge",9600.0,False,False,False,False,False,False,True,False,True,False,False
China,Projection-STEPS,BEV,2022,Vehicles,4400000.0,True,False,False,False,False,False,False,True,False,False,False
China,Projection-STEPS,FCEV,2022,Vehicles,240.0,False,False,True,False,False,False,False,False,False,True,False
China,Projection-STEPS,FCEV,2022,Vehicles,240.0,True,False,False,False,False,False,False,False,False,True,False
China,Projection-STEPS,BEV,2022,Vehicles,11000000.0,False,False,True,False,False,False,False,True,False,False,False
China,Projection-STEPS,PHEV,2022,Vehicles,3100000.0,False,False,True,False,False,False,False,False,False,False,True
China,Projection-STEPS,PHEV,2022,Vehicles,1500000.0,True,False,False,False,False,False,False,False,False,False,True
China,Projection-STEPS,EV,2022,percent,5.099999904632568,False,False,False,True,False,False,False,False,True,False,False
China,Projection-STEPS,EV,2022,percent,29.0,False,True,False,False,False,False,False,False,True,False,False
China,Projection-STEPS,EV,2023,percent,38.0,False,True,False,False,False,False,False,False,True,False,False
China,Projection-STEPS,EV,2023,percent,7.599999904632568,False,False,False,True,False,False,False,False,True,False,False
China,Projection-STEPS,PHEV,2023,Vehicles,2700000.0,True,False,False,False,False,False,False,False,False,False,True
China,Projection-STEPS,PHEV,2023,Vehicles,5800000.0,False,False,True,False,False,False,False,False,False,False,True
China,Projection-STEPS,BEV,2023,Vehicles,16000000.0,False,False,True,False,False,False,False,True,False,False,False
China,Projection-STEPS,FCEV,2023,Vehicles,520.0,True,False,False,False,False,False,False,False,False,True,False
China,Projection-STEPS,FCEV,2023,Vehicles,760.0,False,False,True,False,False,False,False,False,False,True,False
China,Projection-STEPS,BEV,2023,Vehicles,5400000.0,True,False,False,False,False,False,False,True,False,False,False
China,Projection-STEPS,EV,2023,Milion barrels per day,0.3100000023841858,False,False,False,False,False,True,False,False,True,False,False
China,Projection-STEPS,EV,2023,"Oil displacement, million lge",19000.0,False,False,False,False,False,False,True,False,True,False,False
China,Projection-STEPS,EV,2023,GWh,38000.0,False,False,False,False,True,False,False,False,True,False,False
China,Projection-STEPS,EV,2025,GWh,88000.0,False,False,False,False,True,False,False,False,True,False,False
China,Projection-STEPS,EV,2025,Milion barrels per day,0.6100000143051147,False,False,False,False,False,True,False,False,True,False,False
China,Projection-STEPS,EV,2025,"Oil displacement, million lge",36000.0,False,False,False,False,False,False,True,False,True,False,False
China,Projection-STEPS,BEV,2025,Vehicles,7600000.0,True,False,False,False,False,False,False,True,False,False,False
China,Projection-STEPS,FCEV,2025,Vehicles,8000.0,True,False,False,False,False,False,False,False,False,True,False
China,Projection-STEPS,PHEV,2025,Vehicles,3400000.0,True,False,False,False,False,False,False,False,False,False,True
China,Projection-STEPS,BEV,2025,Vehicles,30000000.0,False,False,True,False,False,False,False,True,False,False,False
China,Projection-STEPS,FCEV,2025,Vehicles,8000.0,False,False,True,False,False,False,False,False,False,True,False
China,Projection-STEPS,PHEV,2025,Vehicles,12000000.0,False,False,True,False,False,False,False,False,False,False,True
China,Projection-STEPS,EV,2025,percent,14.0,False,False,False,True,False,False,False,False,True,False,False
China,Projection-STEPS,EV,2025,percent,49.0,False,True,False,False,False,False,False,False,True,False,False
China,Projection-STEPS,EV,2030,percent,68.0,False,True,False,False,False,False,False,False,True,False,False
China,Projection-STEPS,BEV,2030,Vehicles,87000000.0,False,False,True,False,False,False,False,True,False,False,False
China,Projection-STEPS,FCEV,2030,Vehicles,110000.0,False,False,True,False,False,False,False,False,False,True,False
China,Projection-STEPS,PHEV,2030,Vehicles,28000000.0,False,False,True,False,False,False,False,False,False,False,True
China,Projection-STEPS,EV,2030,percent,31.0,False,False,False,True,False,False,False,False,True,False,False
China,Projection-STEPS,BEV,2030,Vehicles,15000000.0,True,False,False,False,False,False,False,True,False,False,False
China,Projection-STEPS,FCEV,2030,Vehicles,33000.0,True,False,False,False,False,False,False,False,False,True,False
China,Projection-STEPS,PHEV,2030,Vehicles,2900000.0,True,False,False,False,False,False,False,False,False,False,True
China,Projection-STEPS,EV,2030,Milion barrels per day,1.5,False,False,False,False,False,True,False,False,True,False,False
China,Projection-STEPS,EV,2030,"Oil displacement, million lge",92000.0,False,False,False,False,False,False,True,False,True,False,False
China,Projection-STEPS,EV,2030,GWh,230000.0,False,False,False,False,True,False,False,False,True,False,False
China,Projection-STEPS,EV,2035,GWh,400000.0,False,False,False,False,True,False,False,False,True,False,False
China,Projection-STEPS,EV,2035,Milion barrels per day,2.5999999046325684,False,False,False,False,False,True,False,False,True,False,False
China,Projection-STEPS,EV,2035,"Oil displacement, million lge",150000.0,False,False,False,False,False,False,True,False,True,False,False
China,Projection-STEPS,EV,2035,percent,52.0,False,False,False,True,False,False,False,False,True,False,False
China,Projection-STEPS,BEV,2035,Vehicles,20000000.0,True,False,False,False,False,False,False,True,False,False,False
China,Projection-STEPS,FCEV,2035,Vehicles,70000.0,True,False,False,False,False,False,False,False,False,True,False
China,Projection-STEPS,PHEV,2035,Vehicles,2100000.0,True,False,False,False,False,False,False,False,False,False,True
China,Projection-STEPS,BEV,2035,Vehicles,180000000.0,False,False,True,False,False,False,False,True,False,False,False
China,Projection-STEPS,FCEV,2035,Vehicles,370000.0,False,False,True,False,False,False,False,False,False,True,False
China,Projection-STEPS,PHEV,2035,Vehicles,38000000.0,False,False,True,False,False,False,False,False,False,False,True
China,Projection-STEPS,EV,2035,percent,85.0,False,True,False,False,False,False,False,False,True,False,False
Europe,Projection-STEPS,BEV,2020,Vehicles,760000.0,True,False,False,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,BEV,2020,Vehicles,1700000.0,False,False,True,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,FCEV,2020,Vehicles,740.0,True,False,False,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,FCEV,2020,Vehicles,2400.0,False,False,True,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,PHEV,2020,Vehicles,640000.0,True,False,False,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,PHEV,2020,Vehicles,1400000.0,False,False,True,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,EV,2020,GWh,4600.0,False,False,False,False,True,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2020,Milion barrels per day,0.0320000015199184,False,False,False,False,False,True,False,False,True,False,False
Europe,Projection-STEPS,EV,2020,"Oil displacement, million lge",1900.0,False,False,False,False,False,False,True,False,True,False,False
Europe,Projection-STEPS,EV,2020,percent,10.0,False,True,False,False,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2020,percent,1.100000023841858,False,False,False,True,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2021,percent,1.7999999523162842,False,False,False,True,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2021,percent,17.0,False,True,False,False,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2021,Milion barrels per day,0.061999998986721,False,False,False,False,False,True,False,False,True,False,False
Europe,Projection-STEPS,EV,2021,"Oil displacement, million lge",3600.0,False,False,False,False,False,False,True,False,True,False,False
Europe,Projection-STEPS,EV,2021,GWh,7800.0,False,False,False,False,True,False,False,False,True,False,False
Europe,Projection-STEPS,PHEV,2021,Vehicles,2500000.0,False,False,True,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,PHEV,2021,Vehicles,1100000.0,True,False,False,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,FCEV,2021,Vehicles,3400.0,False,False,True,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,FCEV,2021,Vehicles,960.0,True,False,False,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,BEV,2021,Vehicles,2900000.0,False,False,True,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,BEV,2021,Vehicles,1200000.0,True,False,False,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,BEV,2022,Vehicles,1600000.0,True,False,False,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,BEV,2022,Vehicles,4400000.0,False,False,True,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,FCEV,2022,Vehicles,1300.0,True,False,False,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,FCEV,2022,Vehicles,4700.0,False,False,True,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,PHEV,2022,Vehicles,1100000.0,True,False,False,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,PHEV,2022,Vehicles,3400000.0,False,False,True,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,EV,2022,GWh,11000.0,False,False,False,False,True,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2022,Milion barrels per day,0.1000000014901161,False,False,False,False,False,True,False,False,True,False,False
Europe,Projection-STEPS,EV,2022,"Oil displacement, million lge",6000.0,False,False,False,False,False,False,True,False,True,False,False
Europe,Projection-STEPS,EV,2022,percent,20.0,False,True,False,False,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2022,percent,2.700000047683716,False,False,False,True,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2023,percent,3.799999952316284,False,False,False,True,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2023,percent,21.0,False,True,False,False,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2023,GWh,29000.0,False,False,False,False,True,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2023,Milion barrels per day,0.1700000017881393,False,False,False,False,False,True,False,False,True,False,False
Europe,Projection-STEPS,EV,2023,"Oil displacement, million lge",10000.0,False,False,False,False,False,False,True,False,True,False,False
Europe,Projection-STEPS,PHEV,2023,Vehicles,4500000.0,False,False,True,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,PHEV,2023,Vehicles,1100000.0,True,False,False,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,FCEV,2023,Vehicles,5500.0,False,False,True,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,FCEV,2023,Vehicles,820.0,True,False,False,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,BEV,2023,Vehicles,6700000.0,False,False,True,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,BEV,2023,Vehicles,2200000.0,True,False,False,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,BEV,2025,Vehicles,3300000.0,True,False,False,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,FCEV,2025,Vehicles,3800.0,True,False,False,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,PHEV,2025,Vehicles,1500000.0,True,False,False,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,BEV,2025,Vehicles,12000000.0,False,False,True,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,FCEV,2025,Vehicles,5900.0,False,False,True,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,PHEV,2025,Vehicles,7200000.0,False,False,True,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,EV,2025,Milion barrels per day,0.3199999928474426,False,False,False,False,False,True,False,False,True,False,False
Europe,Projection-STEPS,EV,2025,"Oil displacement, million lge",18000.0,False,False,False,False,False,False,True,False,True,False,False
Europe,Projection-STEPS,EV,2025,GWh,56000.0,False,False,False,False,True,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2025,percent,31.0,False,True,False,False,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2025,percent,7.0,False,False,False,True,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2030,percent,18.0,False,False,False,True,False,False,False,False,True,False,False
Europe,Projection-STEPS,BEV,2030,Vehicles,6800000.0,True,False,False,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,FCEV,2030,Vehicles,4900.0,True,False,False,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,PHEV,2030,Vehicles,2400000.0,True,False,False,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,BEV,2030,Vehicles,36000000.0,False,False,True,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,FCEV,2030,Vehicles,32000.0,False,False,True,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,PHEV,2030,Vehicles,16000000.0,False,False,True,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,EV,2030,percent,60.0,False,True,False,False,False,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2030,GWh,160000.0,False,False,False,False,True,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2030,Milion barrels per day,0.75,False,False,False,False,False,True,False,False,True,False,False
Europe,Projection-STEPS,EV,2030,"Oil displacement, million lge",43000.0,False,False,False,False,False,False,True,False,True,False,False
Europe,Projection-STEPS,EV,2035,Milion barrels per day,1.5,False,False,False,False,False,True,False,False,True,False,False
Europe,Projection-STEPS,EV,2035,"Oil displacement, million lge",84000.0,False,False,False,False,False,False,True,False,True,False,False
Europe,Projection-STEPS,EV,2035,GWh,320000.0,False,False,False,False,True,False,False,False,True,False,False
Europe,Projection-STEPS,EV,2035,percent,87.0,False,True,False,False,False,False,False,False,True,False,False
Europe,Projection-STEPS,BEV,2035,Vehicles,13000000.0,True,False,False,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,FCEV,2035,Vehicles,10000.0,True,False,False,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,PHEV,2035,Vehicles,620000.0,True,False,False,False,False,False,False,False,False,False,True
Europe,Projection-STEPS,BEV,2035,Vehicles,87000000.0,False,False,True,False,False,False,False,True,False,False,False
Europe,Projection-STEPS,FCEV,2035,Vehicles,71000.0,False,False,True,False,False,False,False,False,False,True,False
Europe,Projection-STEPS,PHEV,2035,Vehicles,26000000.0,False,False,True,False,False,False,False,False,False,False,True
